,symbol,exchangeShortName,type
863,MDU,NYSE,stock
864,PSXP,NYSE,stock
865,CREE,NASDAQ,stock
866,CWH,NYSE,stock
867,DECK,NYSE,stock
868,COHR,NASDAQ,stock
869,SMFG,NYSE,stock
870,FULT,NASDAQ,stock
871,LAZ,NYSE,stock
872,CASY,NASDAQ,stock
873,PODD,NASDAQ,stock
874,NEXA,NYSE,stock
875,MATW,NASDAQ,stock
876,PLNT,NYSE,stock
877,CAH,NYSE,stock
878,AYI,NYSE,stock
879,DVA,NYSE,stock
880,REGN,NASDAQ,stock
881,MELI,NASDAQ,stock
882,SGMS,NASDAQ,stock
883,WCN,NYSE,stock
884,IMMR,NASDAQ,stock
885,VKTX,NASDAQ,stock
886,MYOV,NYSE,stock
887,ABM,NYSE,stock
888,NGL,NYSE,stock
889,ARCO,NYSE,stock
890,TYME,NASDAQ,stock
891,MGPI,NASDAQ,stock
892,NTES,NASDAQ,stock
893,LTRPA,NASDAQ,stock
894,LNC,NYSE,stock
895,NGG,NYSE,stock
896,SND,NASDAQ,stock
897,GTES,NYSE,stock
898,CMA,NYSE,stock
899,ALK,NYSE,stock
900,PFG,NASDAQ,stock
901,HUM,NYSE,stock
902,TEX,NYSE,stock
903,STFC,NASDAQ,stock
904,JWN,NYSE,stock
905,HDSN,NASDAQ,stock
906,HFC,NYSE,stock
907,PQG,NYSE,stock
908,EDU,NYSE,stock
909,LBRT,NYSE,stock
910,TSN,NYSE,stock
911,HSBC,NYSE,stock
912,OMI,NYSE,stock
913,PTC,NASDAQ,stock
914,CDW,NASDAQ,stock
915,SBGI,NASDAQ,stock
916,MMP,NYSE,stock
917,PLAY,NASDAQ,stock
918,HDB,NYSE,stock
919,TSE,NYSE,stock
920,WAL,NYSE,stock
921,SBS,NYSE,stock
922,EXAS,NASDAQ,stock
923,TRGP,NYSE,stock
924,LYV,NYSE,stock
925,ECL,NYSE,stock
926,RESN,NASDAQ,stock
927,ELY,NYSE,stock
928,ARES,NYSE,stock
929,DDD,NYSE,stock
930,MKC,NYSE,stock
931,WAFD,NASDAQ,stock
932,BSBR,NYSE,stock
933,PETQ,NASDAQ,stock
934,RMD,NYSE,stock
